lp,src,mt,ref,score,system,annotators,domain,year
en-de,"The pump head and cylinder are both covered by a lifetime manufacturer warranty, meaning that Encore will replace either part in the event of breakage or malfunction.","Der Pumpenkopf und der Zylinder sind beide durch eine lebenslange Herstellergarantie abgedeckt, was bedeutet, dass Encore im Falle eines Bruchs oder einer Fehlfunktion eines der beiden Teile ersetzt.","Sowohl der Pumpenkopf als auch der Zylinder sind von einer lebenslangen Herstellergarantie gedeckt, was bedeutet, dass Encore das betreffende Teil bei Bruch oder Fehlfunktion ersetzt.",78.5,PROMT,1,ecommerce,2022
en-de,"After a little practice, vacuum therapy with this system becomes easy and comfortable.",Nach ein wenig Übung wird die Vakuumtherapie mit diesem System einfach und komfortabel.,Nach etwas Übung wird die Vakuumtherapie mit diesem System einfach und komfortabel.,81.5,PROMT,1,ecommerce,2022
en-de,"In addition, VVI includes several additional items in this kit that makes the process fast and user-friendly.","Darüber hinaus enthält VVI mehrere zusätzliche Elemente in diesem Kit, die den Prozess schnell und benutzerfreundlich machen.","Zudem bietet VVI in diesem Kit mehrere Zusatzartikel an, die den Prozess schnell und benutzerfreundlich machen.",85.0,PROMT,1,ecommerce,2022
en-de,"The patented ring ejector, loading cone, and lubricant included in the kit help to apply the tension bands after pumping.","Der patentierte Ringauswerfer, der Ladekegel und das Schmiermittel, die im Kit enthalten sind, helfen, die Spannbänder nach dem Pumpen anzubringen.","Der patentierte Ringauswerfer, der Ladekegel und das Gleitmittel, die im Kit enthalten sind, helfen beim Anlegen der Spannungsbänder nach dem Pumpen.",77.5,PROMT,1,ecommerce,2022
en-de,"Tension bands, also known as penis rings, help sustain the erection once it has been achieved with the pump.","Spannbänder, auch Penisringe genannt, tragen dazu bei, die Erektion aufrechtzuerhalten, sobald sie mit der Pumpe erreicht wurde.","Spannungsbänder, auch als Penisringe bekannt, helfen dabei, die Erektion aufrecht zu erhalten, nachdem sie mit der Pumpe erzielt wurde.",83.0,PROMT,1,ecommerce,2022
en-de,"This kit includes comes with an assortment of tension bands, in the most popular sizes, to help the user find the most effective tension level.","Dieses Kit enthält eine Auswahl an Spannbändern in den beliebtesten Größen, um dem Benutzer zu helfen, das effektivste Spannungsniveau zu finden.","Im Kit ist eine Reihe von Spannungsbändern in den beliebtesten Größen enthalten, um die Benutzer beim Finden der wirksamsten Spannungsstärke zu unterstützen.",84.0,PROMT,1,ecommerce,2022
en-de,"To top it off, the whole kit fits in a sleek and discreet carrying bag that stores virtually anywhere.","Um das Ganze abzurunden, passt das ganze Kit in eine schlanke und diskrete Tragetasche, die praktisch überall aufbewahrt wird.","Als krönender Abschluss passt das ganze Kit in eine schlanke und diskrete Tragetasche, die praktisch überall verstaut werden kann.",80.0,PROMT,1,ecommerce,2022
en-de,"VVI Medical understands that a lot of individuals want to keep their sexual lives private, which is why we will take the utmost discretion when shipping this product.","VVI Medical versteht, dass viele Einzelpersonen ihr Sexualleben privat halten wollen, weshalb wir beim Versand dieses Produkts größte Diskretion walten lassen werden.","VVI Medical hat Verständnis dafür, dass viele Menschen ihr Sexualleben als Privatsache betrachten, weshalb wir beim Versand dieses Produkts mit höchster Diskretion verfahren.",79.5,PROMT,1,ecommerce,2022
en-de,You will receive your shipment of the Encore Deluxe Manual/ Battery powered Vacuum Erection Penis Pump in a plain box.,Sie erhalten Ihre Lieferung der Encore Deluxe Manual/Battery powered Vacuum Erection Penis Pump in einer einfachen Box.,Sie erhalten Ihre Lieferung der Encore Deluxe Vakuum-Erektions-Penispumpe mit Hand-/Batteriebetrieb in einem unbeschrifteten Karton.,78.0,PROMT,1,ecommerce,2022
en-de,No prescription required to purchase this pump.,"Kein Rezept erforderlich, um diese Pumpe zu kaufen.",Für den Kauf dieser Pumpe ist keine Verschreibung erforderlich.,82.0,PROMT,1,ecommerce,2022
en-de,Our standard service is dispatch by Airmail.,Unser Standardservice ist der Versand per Luftpost.,Unser Standardservice ist der Versand per Luftpost.,99.0,PROMT,1,ecommerce,2022
en-de,Premium signed-for and courier services are available.,Premium-Sign-for und Kurierdienste sind verfügbar.,Premium-Services mit Empfangsbestätigung und Kurier sind verfügbar.,99.0,PROMT,1,ecommerce,2022
